"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TMAX","TMIN"
"USC00021169","CAMERON 1 NNE, AZ US","35.88333","-111.4","1269.5","1992-01","0.28","43.5","22.2"
"USC00021169","CAMERON 1 NNE, AZ US","35.88333","-111.4","1269.5","1992-02","0.42","57.7","30.1"
"USC00021169","CAMERON 1 NNE, AZ US","35.88333","-111.4","1269.5","1992-03","1.53","64.1","36.4"
"USC00021169","CAMERON 1 NNE, AZ US","35.88333","-111.4","1269.5","1992-04",,,
"USC00021169","CAMERON 1 NNE, AZ US","35.88333","-111.4","1269.5","1992-05","1.91","83.5","51.5"
"USC00021169","CAMERON 1 NNE, AZ US","35.88333","-111.4","1269.5","1992-06","0.00","92.5","58.0"
"USC00021169","CAMERON 1 NNE, AZ US","35.88333","-111.4","1269.5","1992-07","2.06","94.6","64.9"
"USC00021169","CAMERON 1 NNE, AZ US","35.88333","-111.4","1269.5","1992-08","1.09","94.5","64.1"
"USC00021169","CAMERON 1 NNE, AZ US","35.88333","-111.4","1269.5","1992-09","0.80",,
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1992-01","0.72","36.6","16.2"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1992-02","1.67","42.0","23.8"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1992-03","1.17","50.2","29.1"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1992-04","0.02","66.6","39.4"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1992-05","2.79","68.9","44.2"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1992-06","0.04","78.5","50.9"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1992-07","1.71","81.6","55.9"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1992-08","2.21","81.1","55.9"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1992-09","1.49","76.1","52.5"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1992-10","1.08","66.3","44.4"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1992-11","0.59","43.9","24.7"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1992-12","2.13","33.9","18.4"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1993-01","4.71","37.8","21.6"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1993-02","2.54","38.4","24.0"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1993-03","1.82","51.1","31.8"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1993-04","0.60","61.8","34.4"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1993-05","0.41","70.6","44.8"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1993-06","0.00","79.1","51.5"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1993-07","0.00","84.8","57.0"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1993-08","2.44","80.9","56.1"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1993-09","0.35","76.9","51.3"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1993-10","2.47","60.5","39.2"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1993-11","0.79","46.9","27.1"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1993-12","0.50","40.6","22.0"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1994-01","0.52","43.3","24.1"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1994-02","0.86","41.0","22.4"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1994-03","0.90","53.8","32.3"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1994-04","2.02","58.7","36.5"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1994-05","0.59","71.0","43.6"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1994-06","0.33","85.8","57.4"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1994-07","1.32","88.2","60.7"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1994-08","1.16","85.2","57.8"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1994-09","1.11","76.2","51.6"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1994-10","0.55","61.7","39.0"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1994-11","1.21","44.5","24.2"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1994-12","1.09","40.2","25.3"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1995-01","2.22","37.1","22.5"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1995-02","0.50","51.1","32.4"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1995-03","1.63","51.5","29.6"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1995-04","1.64","57.4","32.7"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1995-05","0.58","64.3","40.9"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1995-06","0.15","77.2","47.8"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1995-07","0.49","86.6","60.2"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1995-08","2.15","87.1","61.6"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1995-09","0.99","78.2","52.4"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1995-10","0.00","67.0","41.9"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1995-11","0.84","57.0","34.3"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1996-01","0.63",,
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1996-02","0.71","48.8","27.7"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1996-03","0.52","53.9","28.0"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1996-04","0.07",,"35.7"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1996-05","0.49","77.0","46.7"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1996-06","0.26","84.8","56.5"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1996-07","0.69","89.0","62.1"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1996-08","0.59","85.2","59.8"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1996-09","1.27","73.1","48.5"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1996-10","0.63","63.6","38.6"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1996-11","2.11","49.5","31.0"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1996-12","0.59","42.2","22.7"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1997-01","2.15","37.6","21.1"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1997-02","1.26","40.6","23.2"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1997-03","0.03","57.1","31.3"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1997-04","1.98",,"31.9"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1997-05","0.40","73.6","47.2"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1997-06","0.16",,
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1997-07","1.20",,"58.3"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1997-08","3.18","82.0","57.7"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1997-09","3.09","75.7",
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1997-10","1.63",,"39.8"
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1997-11","0.47","51.0",
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","1997-12","0.84","37.8","21.0"
