"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TMAX","TMIN"
"USC00043157","FORT BIDWELL, CA US","41.8715","-120.1574","1444.4","1992-01","0.26","42.9","21.9"
"USC00043157","FORT BIDWELL, CA US","41.8715","-120.1574","1444.4","1992-02","1.00","50.1","28.4"
"USC00043157","FORT BIDWELL, CA US","41.8715","-120.1574","1444.4","1992-03","1.26","56.1","30.0"
"USC00043157","FORT BIDWELL, CA US","41.8715","-120.1574","1444.4","1992-04","2.12","62.7","36.9"
"USC00043157","FORT BIDWELL, CA US","41.8715","-120.1574","1444.4","1992-05","0.13","77.3","42.4"
"USC00043157","FORT BIDWELL, CA US","41.8715","-120.1574","1444.4","1992-06","2.08","78.4","47.2"
"USC00043157","FORT BIDWELL, CA US","41.8715","-120.1574","1444.4","1992-07","0.12","82.7","49.7"
"USC00043157","FORT BIDWELL, CA US","41.8715","-120.1574","1444.4","1992-08","0.00","86.7","50.8"
"USC00043157","FORT BIDWELL, CA US","41.8715","-120.1574","1444.4","1992-09","0.08","78.5","40.9"
"USC00043157","FORT BIDWELL, CA US","41.8715","-120.1574","1444.4","1992-10","2.82","67.7","37.0"
"USC00043157","FORT BIDWELL, CA US","41.8715","-120.1574","1444.4","1992-11","3.17","46.6","26.1"
"USC00043157","FORT BIDWELL, CA US","41.8715","-120.1574","1444.4","1992-12","3.46","34.3","18.4"
"USC00043157","FORT BIDWELL, CA US","41.8715","-120.1574","1444.4","1993-01","3.92","30.7","12.0"
"USC00043157","FORT BIDWELL, CA US","41.8715","-120.1574","1444.4","1993-02","2.28","32.5","15.3"
"USC00043157","FORT BIDWELL, CA US","41.8715","-120.1574","1444.4","1993-03","2.57","50.7","32.1"
"USC00043157","FORT BIDWELL, CA US","41.8715","-120.1574","1444.4","1993-04","2.89","54.3","33.5"
"USC00043157","FORT BIDWELL, CA US","41.8715","-120.1574","1444.4","1993-05","2.27","68.4","41.3"
"USC00043157","FORT BIDWELL, CA US","41.8715","-120.1574","1444.4","1993-06","1.83","70.1","42.6"
"USC00043157","FORT BIDWELL, CA US","41.8715","-120.1574","1444.4","1993-07","0.33","76.0","43.9"
"USC00043157","FORT BIDWELL, CA US","41.8715","-120.1574","1444.4","1993-08","0.63","79.6","46.3"
"USC00043157","FORT BIDWELL, CA US","41.8715","-120.1574","1444.4","1993-09",,"77.1","41.5"
"USC00043157","FORT BIDWELL, CA US","41.8715","-120.1574","1444.4","1993-10","1.00","63.5","37.2"
"USC00043157","FORT BIDWELL, CA US","41.8715","-120.1574","1444.4","1993-11","0.69","44.7","18.6"
"USC00043157","FORT BIDWELL, CA US","41.8715","-120.1574","1444.4","1993-12","2.22","35.5","22.6"
"USC00043157","FORT BIDWELL, CA US","41.8715","-120.1574","1444.4","1994-01","0.63","44.4","23.2"
"USC00043157","FORT BIDWELL, CA US","41.8715","-120.1574","1444.4","1994-02","2.62","42.9","21.3"
"USC00043157","FORT BIDWELL, CA US","41.8715","-120.1574","1444.4","1994-03","0.89","55.9","29.7"
"USC00043157","FORT BIDWELL, CA US","41.8715","-120.1574","1444.4","1994-04","0.79","60.6","34.8"
"USC00043157","FORT BIDWELL, CA US","41.8715","-120.1574","1444.4","1994-05","1.80","68.4","41.9"
"USC00043157","FORT BIDWELL, CA US","41.8715","-120.1574","1444.4","1994-06","0.46","76.1","44.5"
"USC00043157","FORT BIDWELL, CA US","41.8715","-120.1574","1444.4","1994-07","0.51","88.8","53.9"
"USC00043157","FORT BIDWELL, CA US","41.8715","-120.1574","1444.4","1994-08","0.00","86.2","48.9"
"USC00043157","FORT BIDWELL, CA US","41.8715","-120.1574","1444.4","1994-09","0.25","78.9","44.0"
"USC00043157","FORT BIDWELL, CA US","41.8715","-120.1574","1444.4","1994-10","0.56","62.3","32.6"
"USC00043157","FORT BIDWELL, CA US","41.8715","-120.1574","1444.4","1994-11","3.24","37.6","21.7"
"USC00043157","FORT BIDWELL, CA US","41.8715","-120.1574","1444.4","1994-12","2.96","33.0","16.4"
"USC00043157","FORT BIDWELL, CA US","41.8715","-120.1574","1444.4","1995-01","4.36","39.3","27.9"
