"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TMAX","TMIN"
"USC00059060","WILD HORSE 11 SSE, CO US","38.6675","-102.99361","1336.5","2004-03","0.52",,
"USC00059060","WILD HORSE 11 SSE, CO US","38.6675","-102.99361","1336.5","2004-04","3.83","63.8","34.1"
"USC00059060","WILD HORSE 11 SSE, CO US","38.6675","-102.99361","1336.5","2004-05","0.29","78.8","43.9"
"USC00059060","WILD HORSE 11 SSE, CO US","38.6675","-102.99361","1336.5","2004-06","4.69","81.4","51.2"
"USC00059060","WILD HORSE 11 SSE, CO US","38.6675","-102.99361","1336.5","2004-07",,,
"USC00059060","WILD HORSE 11 SSE, CO US","38.6675","-102.99361","1336.5","2004-08","2.68","80.9","53.1"
"USC00059060","WILD HORSE 11 SSE, CO US","38.6675","-102.99361","1336.5","2004-09","0.61","82.1","47.6"
"USC00059060","WILD HORSE 11 SSE, CO US","38.6675","-102.99361","1336.5","2004-10","0.52","68.8","35.2"
"USC00059060","WILD HORSE 11 SSE, CO US","38.6675","-102.99361","1336.5","2004-11","0.89","48.0","23.8"
"USC00059060","WILD HORSE 11 SSE, CO US","38.6675","-102.99361","1336.5","2004-12","0.15",,
"USC00059060","WILD HORSE 11 SSE, CO US","38.6675","-102.99361","1336.5","2005-02","0.00","48.6","18.5"
"USC00059060","WILD HORSE 11 SSE, CO US","38.6675","-102.99361","1336.5","2005-03","0.67","55.1","21.2"
"USC00059060","WILD HORSE 11 SSE, CO US","38.6675","-102.99361","1336.5","2005-04","1.07","63.6","32.8"
"USC00059060","WILD HORSE 11 SSE, CO US","38.6675","-102.99361","1336.5","2005-05","1.71","74.2",
"USC00059060","WILD HORSE 11 SSE, CO US","38.6675","-102.99361","1336.5","2005-06","2.83",,"53.9"
"USC00059060","WILD HORSE 11 SSE, CO US","38.6675","-102.99361","1336.5","2005-07","4.34","90.3","56.9"
"USC00059060","WILD HORSE 11 SSE, CO US","38.6675","-102.99361","1336.5","2005-08","3.43",,
"USC00059060","WILD HORSE 11 SSE, CO US","38.6675","-102.99361","1336.5","2005-09","0.34","83.3","49.9"
"USC00059060","WILD HORSE 11 SSE, CO US","38.6675","-102.99361","1336.5","2005-10","3.46","68.6","34.8"
"USC00059060","WILD HORSE 11 SSE, CO US","38.6675","-102.99361","1336.5","2005-11","0.00","59.2","22.0"
"USC00059060","WILD HORSE 11 SSE, CO US","38.6675","-102.99361","1336.5","2005-12","0.00",,
"USC00059060","WILD HORSE 11 SSE, CO US","38.6675","-102.99361","1336.5","2006-01","0.85",,
"USC00059060","WILD HORSE 11 SSE, CO US","38.6675","-102.99361","1336.5","2006-02","0.00","48.3","13.3"
"USC00059060","WILD HORSE 11 SSE, CO US","38.6675","-102.99361","1336.5","2006-03","0.53","56.7","22.3"
"USC00059060","WILD HORSE 11 SSE, CO US","38.6675","-102.99361","1336.5","2006-04","0.10","69.9","32.2"
"USC00059060","WILD HORSE 11 SSE, CO US","38.6675","-102.99361","1336.5","2006-05","1.36","77.0","43.1"
"USC00059060","WILD HORSE 11 SSE, CO US","38.6675","-102.99361","1336.5","2006-06","0.65",,
