"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TMAX","TMIN"
"USC00243727","GRASS RANGE, MT US","47.0256","-108.8035","1063.8","1992-01","0.01","49.4","19.6"
"USC00243727","GRASS RANGE, MT US","47.0256","-108.8035","1063.8","1992-02","0.06","50.6","21.9"
"USC00243727","GRASS RANGE, MT US","47.0256","-108.8035","1063.8","1992-03","1.00","55.1","27.7"
"USC00243727","GRASS RANGE, MT US","47.0256","-108.8035","1063.8","1992-04","1.31","61.3","33.6"
"USC00243727","GRASS RANGE, MT US","47.0256","-108.8035","1063.8","1992-05","0.74","71.2","41.1"
"USC00243727","GRASS RANGE, MT US","47.0256","-108.8035","1063.8","1992-06","6.24","76.4","48.8"
"USC00243727","GRASS RANGE, MT US","47.0256","-108.8035","1063.8","1992-07","2.52","72.5","48.8"
"USC00243727","GRASS RANGE, MT US","47.0256","-108.8035","1063.8","1992-08","1.14","77.7","46.9"
"USC00243727","GRASS RANGE, MT US","47.0256","-108.8035","1063.8","1992-09","0.91","71.0","39.5"
"USC00243727","GRASS RANGE, MT US","47.0256","-108.8035","1063.8","1992-10","0.43","61.6","34.9"
"USC00243727","GRASS RANGE, MT US","47.0256","-108.8035","1063.8","1992-11","0.72","44.8","23.6"
"USC00243727","GRASS RANGE, MT US","47.0256","-108.8035","1063.8","1992-12","0.69","29.9","6.0"
"USC00243727","GRASS RANGE, MT US","47.0256","-108.8035","1063.8","1993-01","1.61","26.0","4.1"
"USC00243727","GRASS RANGE, MT US","47.0256","-108.8035","1063.8","1993-02","0.48","30.3","7.9"
"USC00243727","GRASS RANGE, MT US","47.0256","-108.8035","1063.8","1993-03","0.64","49.8","26.3"
"USC00243727","GRASS RANGE, MT US","47.0256","-108.8035","1063.8","1993-04","0.92","57.5","30.8"
"USC00243727","GRASS RANGE, MT US","47.0256","-108.8035","1063.8","1993-05","1.56","69.2","41.6"
"USC00243727","GRASS RANGE, MT US","47.0256","-108.8035","1063.8","1993-06","3.96","69.2","46.1"
"USC00243727","GRASS RANGE, MT US","47.0256","-108.8035","1063.8","1993-07","6.53","68.8","48.2"
"USC00243727","GRASS RANGE, MT US","47.0256","-108.8035","1063.8","1993-08","2.46","73.9","48.6"
"USC00243727","GRASS RANGE, MT US","47.0256","-108.8035","1063.8","1993-09","1.11","67.1","39.9"
"USC00243727","GRASS RANGE, MT US","47.0256","-108.8035","1063.8","1993-10","1.44","59.7","32.3"
"USC00243727","GRASS RANGE, MT US","47.0256","-108.8035","1063.8","1993-11","0.61","42.1","17.8"
"USC00243727","GRASS RANGE, MT US","47.0256","-108.8035","1063.8","1993-12","0.30","42.9","21.0"
"USC00243727","GRASS RANGE, MT US","47.0256","-108.8035","1063.8","1994-01","0.78","35.5","13.5"
"USC00243727","GRASS RANGE, MT US","47.0256","-108.8035","1063.8","1994-02","0.37","30.6","6.4"
"USC00243727","GRASS RANGE, MT US","47.0256","-108.8035","1063.8","1994-03","0.44","52.6","25.6"
"USC00243727","GRASS RANGE, MT US","47.0256","-108.8035","1063.8","1994-04","2.10","58.8","30.9"
"USC00243727","GRASS RANGE, MT US","47.0256","-108.8035","1063.8","1994-05","2.65","69.0","42.7"
"USC00243727","GRASS RANGE, MT US","47.0256","-108.8035","1063.8","1994-06","2.29","75.3","46.7"
"USC00243727","GRASS RANGE, MT US","47.0256","-108.8035","1063.8","1994-07","2.41","82.8","45.6"
"USC00243727","GRASS RANGE, MT US","47.0256","-108.8035","1063.8","1994-08","0.51","83.8","51.4"
"USC00243727","GRASS RANGE, MT US","47.0256","-108.8035","1063.8","1994-09","0.68","76.1","42.6"
"USC00243727","GRASS RANGE, MT US","47.0256","-108.8035","1063.8","1994-10","1.01","58.4","34.1"
"USC00243727","GRASS RANGE, MT US","47.0256","-108.8035","1063.8","1994-11","0.89","42.8","20.5"
"USC00243727","GRASS RANGE, MT US","47.0256","-108.8035","1063.8","1994-12","0.46","40.7","16.8"
"USC00243727","GRASS RANGE, MT US","47.0256","-108.8035","1063.8","1995-01","0.21","41.6","17.6"
