"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TMAX","TMIN"
"USC00290119","ADOBE RANCH, NM US","33.56667","-107.9","2261.0","1992-01","1.45",,
"USC00290119","ADOBE RANCH, NM US","33.56667","-107.9","2261.0","1992-02","0.36","47.6","21.3"
"USC00290119","ADOBE RANCH, NM US","33.56667","-107.9","2261.0","1992-03","0.83",,
"USC00290119","ADOBE RANCH, NM US","33.56667","-107.9","2261.0","1992-06","0.84","77.3","37.0"
"USC00290119","ADOBE RANCH, NM US","33.56667","-107.9","2261.0","1992-07","2.47","79.8","45.5"
"USC00290119","ADOBE RANCH, NM US","33.56667","-107.9","2261.0","1992-08","2.87","76.7","46.1"
"USC00290119","ADOBE RANCH, NM US","33.56667","-107.9","2261.0","1992-09","1.51",,
"USC00290119","ADOBE RANCH, NM US","33.56667","-107.9","2261.0","1993-01","1.10","47.8","21.0"
"USC00290119","ADOBE RANCH, NM US","33.56667","-107.9","2261.0","1993-03",,,
"USC00290119","ADOBE RANCH, NM US","33.56667","-107.9","2261.0","1993-04","0.20",,
"USC00290119","ADOBE RANCH, NM US","33.56667","-107.9","2261.0","1993-05",,,
"USC00290119","ADOBE RANCH, NM US","33.56667","-107.9","2261.0","1993-06","1.11","78.5","35.8"
"USC00290119","ADOBE RANCH, NM US","33.56667","-107.9","2261.0","1993-07","2.46","80.1","45.0"
"USC00290119","ADOBE RANCH, NM US","33.56667","-107.9","2261.0","1993-08","10.40","74.2","48.4"
"USC00290119","ADOBE RANCH, NM US","33.56667","-107.9","2261.0","1993-09","0.25","74.9","34.6"
"USC00290119","ADOBE RANCH, NM US","33.56667","-107.9","2261.0","1993-10","1.45","66.8","26.1"
"USC00290119","ADOBE RANCH, NM US","33.56667","-107.9","2261.0","1993-11","0.14","56.6","14.5"
"USC00290119","ADOBE RANCH, NM US","33.56667","-107.9","2261.0","1993-12","0.00","50.8","7.3"
"USC00290119","ADOBE RANCH, NM US","33.56667","-107.9","2261.0","1994-01","0.20","52.6","5.5"
"USC00290119","ADOBE RANCH, NM US","33.56667","-107.9","2261.0","1994-02","0.75","51.1",
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2007-07","2.12","88.8","59.1"
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2007-09","1.87","86.3","57.7"
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2007-10","0.00","77.1","42.3"
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2007-11","0.90","65.8","32.3"
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2008-01","0.00","53.7","21.0"
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2008-02","0.04","62.5","26.8"
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2008-03","0.25","67.1","30.8"
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2008-04","0.00","76.4","37.7"
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2008-05","1.27","83.4","48.8"
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2008-06","0.00",,
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2008-07","4.87","87.5","62.0"
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2008-08","3.53","86.9","60.2"
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2008-09","0.84","81.1","52.9"
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2008-10","1.62","74.4","42.3"
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2008-11","0.10","66.2","30.6"
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2008-12","0.49","57.6","22.5"
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2009-01","0.00","58.2","23.3"
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2009-03","0.58","68.8","35.9"
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2009-04","0.09","75.3","37.8"
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2009-05","0.46","84.3","50.1"
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2009-06","1.61","92.4","60.1"
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2009-07","4.91",,
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2009-08","0.00","92.2","62.4"
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2009-09","3.13","81.2","52.4"
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2009-10","2.32","71.5","42.0"
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2009-11","0.07","66.2","32.8"
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2009-12","2.00","47.0","21.4"
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2010-01","2.26","52.4","22.3"
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2010-02","1.43","51.4","26.6"
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2010-03","1.03","63.5","33.3"
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2010-04","1.00","73.4","41.5"
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2010-05","0.45","80.0","48.0"
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2010-06","1.37",,
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2010-07","4.94","86.9","63.4"
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2010-08","1.79","91.2","61.6"
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2010-09","2.00","87.5","59.1"
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2010-10","1.19","77.1","45.0"
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2010-11","0.00","65.6","29.2"
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2010-12","0.00","59.7","25.9"
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2011-01","0.00","55.9","20.6"
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2011-02","0.10","56.3","19.5"
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2011-03","0.00","74.7","33.8"
"USC00291445","CAPROCK, NM US","33.34333","-103.67823","1319.2","2011-04","0.00","82.0","42.6"
