"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TMAX","TMIN"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1992-01","5.03","56.0","37.3"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1992-02","4.30","62.4","41.1"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1992-03","2.91","62.1","42.3"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1992-04","6.14","64.4","44.6"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1992-05","0.08","69.2","44.2"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1992-06","1.13","69.5","49.7"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1992-07","0.62","71.9","53.0"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1992-08","0.12","74.9","49.9"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1992-09","0.64","72.9","46.7"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1992-10","2.13","69.5","42.8"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1992-11","5.66","57.8","41.3"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1992-12","13.30","51.1","36.0"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1993-01","6.40",,
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1993-02","5.75","55.7","33.6"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1993-03","6.44","59.8","44.3"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1993-04","9.85","59.4","42.9"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1993-05","3.98","66.2","47.1"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1993-06","2.43","67.9","48.3"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1993-07","2.07","69.5","49.5"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1993-08","0.67","72.8","51.2"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1993-09","0.00","70.2","46.0"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1993-10","1.48","68.1","43.6"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1993-11","2.17","57.0","31.5"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1993-12","9.96","53.7","35.0"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1994-01","5.72","57.6","37.0"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1994-02","5.52","54.1","35.0"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1994-03","4.76","60.9","37.6"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1994-04","3.01","60.4","41.6"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1994-05","2.20","65.2","46.0"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1994-06","1.15","66.4","47.5"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1994-07","0.02","71.1","49.4"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1994-08","0.02","74.3","50.4"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1994-09","1.31","72.7","49.5"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1994-10","2.55","67.0","40.9"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1994-11","10.85","53.1","34.4"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1994-12","7.91","53.3","38.5"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1995-01","17.72","55.4","41.8"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1995-02","3.73","60.1","41.7"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1995-03","10.33","57.7","39.0"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1995-04","6.58","59.1","40.6"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1995-05","2.49","63.2","45.6"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1995-06","3.29","66.6","47.5"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1995-07","0.27","72.4","53.8"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1995-08","0.53","73.1","48.5"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1995-09","2.04","71.6","51.4"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1995-10","3.56","68.1","42.1"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1995-11","7.06","61.1","45.2"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1995-12","12.99","56.8","41.6"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1996-01","16.40","53.3","39.5"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1996-02","12.86","58.8","40.4"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1996-03","5.14","59.9","38.4"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1996-04","7.90","61.8","42.5"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1996-05","5.78","62.5","42.7"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1996-06","0.34","68.2","46.9"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1996-07","0.31","72.6","50.3"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1996-08","0.00","72.8","49.0"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1996-09","1.03","72.2","45.3"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1996-10","5.41","65.9","43.5"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1996-11","15.59","58.5","41.5"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1996-12","18.06","54.7","39.4"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1997-01","10.03","54.1","36.3"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1997-02","4.72","56.9","36.7"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1997-03","7.30","58.5","39.3"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1997-04","3.56","60.2","40.7"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1997-05","2.04","70.0","47.0"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1997-06","1.99","68.2","48.5"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1997-07","0.51","72.6","50.8"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1997-08","1.19","75.1","52.3"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1997-09","4.28","73.6","51.9"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1997-10","5.19","65.2","45.7"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1997-11","5.92","59.2","42.6"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1997-12","5.41","53.9","33.1"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1998-01","13.62","54.5","43.2"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1998-02","11.00","54.7","39.1"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1998-03","7.15","57.6","39.3"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1998-04","4.18","59.0","39.1"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1998-05","7.22","60.4","45.7"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1998-06","1.13","64.6","49.4"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1998-07","0.03","70.6","54.6"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1998-08","0.00","72.2","51.4"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1998-09","0.48","72.3","47.2"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1998-10","3.19","67.7","42.6"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1998-11","16.83","57.1","42.1"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1998-12","10.64","49.2","34.1"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1999-01","9.76","53.0","36.6"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1999-02","10.91","52.4","38.2"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1999-03","6.24","54.3","36.2"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1999-04","3.28","59.5","37.8"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1999-05","4.54","60.8","40.5"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1999-06","0.70","66.4","47.1"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1999-07","0.15","68.0","48.8"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1999-08","0.56","70.3","53.3"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1999-09","0.02","71.7","44.0"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1999-10","2.92","68.7","39.8"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1999-11","9.08","60.1","42.9"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","1999-12","6.40","54.4","36.3"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","2000-01","17.98","52.4","36.2"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","2000-02","9.42","55.4","39.6"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","2000-03","2.90","55.3","34.9"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","2000-04","2.63","62.5","40.5"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","2000-05","2.84","64.0","45.1"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","2000-06","1.45","69.5","47.6"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","2000-07","0.15","69.9","51.2"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","2000-08","0.11","71.0","50.3"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","2000-09","0.62","73.7","47.4"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","2000-10","5.49","66.1","43.7"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","2000-11","3.59","56.2","36.5"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","2000-12","5.17","56.4","35.8"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","2001-01","2.55","55.7","34.5"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","2001-02","2.80","55.2","34.0"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","2001-03","2.98","58.7","38.4"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","2001-04","3.90","57.0","38.5"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","2001-05","1.96","66.0","41.9"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","2001-06","1.87","66.6","45.6"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","2001-07","0.53","69.8","49.9"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","2001-08","0.55","71.2","52.3"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","2001-09","0.22","71.6","47.5"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","2001-10","3.12","66.6","41.1"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","2001-11","6.16","59.8","42.0"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","2001-12","11.86","52.4","38.5"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","2002-01","11.68","51.4","37.3"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","2002-02","5.35","57.6","35.8"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","2002-03","5.65","54.5","35.2"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","2002-04","3.87","59.8","40.8"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","2002-05","0.76","61.9","41.5"
"USC00351836","COQUILLE CITY, OR US","43.17513","-124.19387","7.0","2002-06","0.99","67.3","49.0"
