"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TMAX","TMIN"
"USC00450872","BREMERTON, WA US","47.5688","-122.6827","33.5","1992-02","6.14","53.3","38.3"
"USC00450872","BREMERTON, WA US","47.5688","-122.6827","33.5","1992-03","1.18","59.5","40.1"
"USC00450872","BREMERTON, WA US","47.5688","-122.6827","33.5","1992-04","4.44","62.3","42.8"
"USC00450872","BREMERTON, WA US","47.5688","-122.6827","33.5","1992-05","0.38","69.9","46.7"
"USC00450872","BREMERTON, WA US","47.5688","-122.6827","33.5","1992-06","1.53","75.1","53.4"
"USC00450872","BREMERTON, WA US","47.5688","-122.6827","33.5","1992-07","1.59","74.7","55.5"
"USC00450872","BREMERTON, WA US","47.5688","-122.6827","33.5","1992-09","2.42","69.6","48.6"
"USC00450872","BREMERTON, WA US","47.5688","-122.6827","33.5","1992-10","3.97","61.1","46.9"
"USC00450872","BREMERTON, WA US","47.5688","-122.6827","33.5","1992-11","6.44","50.8","38.9"
"USC00450872","BREMERTON, WA US","47.5688","-122.6827","33.5","1992-12","6.08","43.4","33.3"
"USC00450872","BREMERTON, WA US","47.5688","-122.6827","33.5","1993-01","5.31","42.3","30.3"
"USC00450872","BREMERTON, WA US","47.5688","-122.6827","33.5","1993-02","0.64","50.3","31.1"
"USC00450872","BREMERTON, WA US","47.5688","-122.6827","33.5","1993-04","7.67","56.9","43.6"
"USC00450872","BREMERTON, WA US","47.5688","-122.6827","33.5","1993-05","2.89","69.4","50.2"
"USC00450872","BREMERTON, WA US","47.5688","-122.6827","33.5","1993-06","2.48","68.7","51.6"
"USC00450872","BREMERTON, WA US","47.5688","-122.6827","33.5","1993-07","1.84","69.0","53.6"
"USC00450872","BREMERTON, WA US","47.5688","-122.6827","33.5","1993-08","0.23","74.9","54.8"
"USC00450872","BREMERTON, WA US","47.5688","-122.6827","33.5","1993-09","0.00","73.4","49.0"
"USC00450872","BREMERTON, WA US","47.5688","-122.6827","33.5","1993-10","1.67","62.8","46.8"
"USC00450872","BREMERTON, WA US","47.5688","-122.6827","33.5","1993-11","2.00","49.0","33.8"
"USC00450872","BREMERTON, WA US","47.5688","-122.6827","33.5","1993-12","10.28","45.8","35.6"
