"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TMAX","TMIN"
"USC00481736","CHURCH BUTTES GAS PLANT, WY US","41.39748","-110.08837","2157.7","1992-01","0.82","29.0","10.0"
"USC00481736","CHURCH BUTTES GAS PLANT, WY US","41.39748","-110.08837","2157.7","1992-02","0.23","35.5","17.9"
"USC00481736","CHURCH BUTTES GAS PLANT, WY US","41.39748","-110.08837","2157.7","1992-03","0.70","45.6","27.5"
"USC00481736","CHURCH BUTTES GAS PLANT, WY US","41.39748","-110.08837","2157.7","1992-04","0.19","59.2","33.1"
"USC00481736","CHURCH BUTTES GAS PLANT, WY US","41.39748","-110.08837","2157.7","1992-05","2.56","67.1","40.9"
"USC00481736","CHURCH BUTTES GAS PLANT, WY US","41.39748","-110.08837","2157.7","1992-06","0.06","73.2","45.7"
"USC00481736","CHURCH BUTTES GAS PLANT, WY US","41.39748","-110.08837","2157.7","1992-07","0.91","78.7","51.3"
"USC00481736","CHURCH BUTTES GAS PLANT, WY US","41.39748","-110.08837","2157.7","1992-08","0.20","81.9","52.4"
"USC00481736","CHURCH BUTTES GAS PLANT, WY US","41.39748","-110.08837","2157.7","1992-09","0.55","72.1","43.8"
"USC00481736","CHURCH BUTTES GAS PLANT, WY US","41.39748","-110.08837","2157.7","1992-10","1.32",,
"USC00481736","CHURCH BUTTES GAS PLANT, WY US","41.39748","-110.08837","2157.7","1992-11","0.60","34.8","17.0"
"USC00481736","CHURCH BUTTES GAS PLANT, WY US","41.39748","-110.08837","2157.7","1992-12","0.55","26.1","8.5"
"USC00481736","CHURCH BUTTES GAS PLANT, WY US","41.39748","-110.08837","2157.7","1993-01","0.73","22.4","5.7"
"USC00481736","CHURCH BUTTES GAS PLANT, WY US","41.39748","-110.08837","2157.7","1993-02","1.22","19.7","3.1"
"USC00481736","CHURCH BUTTES GAS PLANT, WY US","41.39748","-110.08837","2157.7","1993-03","0.74","41.3","24.2"
"USC00481736","CHURCH BUTTES GAS PLANT, WY US","41.39748","-110.08837","2157.7","1993-04","1.81","49.2","27.1"
"USC00481736","CHURCH BUTTES GAS PLANT, WY US","41.39748","-110.08837","2157.7","1993-05","2.09","63.8","39.1"
