iter	RMSE
0	8980.577532
1	8939.256072
2	8869.789814
3	8830.18274
4	8806.500941
5	8778.630478
6	8723.245308
7	8694.708056
8	8664.242738
9	8636.269699
10	8613.684768
11	8583.480634
12	8550.953757
13	8527.039974
14	8510.213609
15	8493.344297
16	8444.264871
17	8426.537532
18	8383.643896
19	8361.227249
20	8341.263023
21	8331.26338
22	8313.504474
23	8284.160364
24	8273.451176
25	8243.386487
26	8212.593597
27	8202.330107
28	8193.297108
29	8168.039872
30	8149.221379
31	8139.853422
32	8129.989611
33	8121.992822
34	8111.104505
35	8102.343253
36	8089.968608
37	8083.284771
38	8074.245416
39	8064.145027
40	8052.966913
41	8039.412691
42	8033.63968
43	8024.629998
44	8017.883041
45	8007.685682
46	8000.044366
47	7991.564533
48	7981.492671
49	7976.117045
50	7959.219754
51	7945.531976
52	7932.043576
53	7928.158541
54	7910.97352
55	7904.402038
56	7898.205621
57	7873.995984
58	7862.315485
59	7848.936255
60	7842.101167
61	7829.513235
62	7820.173802
63	7812.936891
64	7809.737272
65	7784.324143
66	7774.966581
67	7766.398886
68	7759.498625
69	7755.772278
70	7743.363439
71	7725.407277
72	7721.149629
73	7714.823887
74	7708.935685
75	7705.465529
76	7693.979654
77	7685.506556
78	7679.271279
79	7673.622725
80	7665.12999
81	7656.46369
82	7647.25145
83	7638.487502
84	7631.939554
85	7616.98736
86	7613.332549
87	7602.310413
88	7588.426305
89	7583.406209
90	7575.672175
91	7568.674856
92	7564.220735
93	7558.142992
94	7547.696242
95	7541.813359
96	7530.541829
97	7524.837017
98	7511.315612
99	7502.527766
100	7490.602928
101	7488.283981
102	7476.305847
103	7466.956722
104	7460.142987
105	7454.855286
106	7447.725895
107	7440.29924
108	7438.142924
109	7426.309927
110	7416.495584
111	7410.85898
112	7404.70415
113	7398.162152
114	7391.82816
115	7387.648635
116	7377.869684
117	7372.07655
118	7368.621161
119	7363.600022
120	7352.8198
121	7347.349029
122	7341.770797
123	7336.333897
124	7329.526447
125	7323.522974
126	7316.700657
127	7311.861578
128	7300.408118
129	7287.216781
130	7282.067435
131	7278.346248
132	7273.604116
133	7266.976727
134	7263.390895
135	7257.428576
136	7252.551373
137	7247.899204
138	7237.333717
139	7229.956083
140	7225.246718
141	7220.887961
142	7215.521664
143	7204.767219
144	7198.127331
145	7193.440755
146	7187.465035
147	7182.128951
148	7177.575363
149	7173.564326
150	7170.616014
151	7168.175939
152	7165.847163
153	7163.507644
154	7159.403023
155	7157.296981
156	7153.680883
157	7147.584522
158	7144.232678
159	7139.467094
160	7134.651056
161	7123.88043
162	7121.595837
163	7114.47981
164	7110.582232
165	7106.3726
166	7097.79949
167	7088.768958
168	7083.969033
169	7079.431358
170	7070.7072
171	7066.782312
172	7063.651276
173	7059.922752
174	7051.153819
175	7048.180791
176	7046.759081
177	7042.601508
178	7041.240832
179	7037.674852
180	7033.593795
181	7029.577977
182	7025.756598
183	7020.017914
184	7016.523552
185	7006.922588
186	6995.271185
