iter	Passed	Remaining
0	49	73585
1	94	70506
2	135	67768
3	187	70200
4	229	68709
5	273	68203
6	316	67398
7	361	67387
8	404	66945
9	450	67182
10	498	67480
11	545	67587
12	588	67276
13	637	67689
14	681	67448
15	722	67025
16	766	66871
17	810	66738
18	855	66711
19	901	66683
20	943	66476
21	986	66264
22	1032	66313
23	1076	66182
24	1120	66125
25	1169	66294
26	1215	66316
27	1272	66898
28	1323	67114
29	1368	67047
30	1412	66928
31	1458	66909
32	1502	66790
33	1552	66941
34	1594	66736
35	1643	66848
36	1698	67155
37	1743	67059
38	1792	67167
39	1840	67188
40	1889	67232
41	1933	67113
42	1979	67085
43	2024	66995
44	2070	66933
45	2122	67085
46	2165	66944
47	2217	67067
48	2261	66978
49	2305	66873
50	2352	66828
51	2403	66940
52	2449	66882
53	2491	66722
54	2534	66577
55	2578	66476
56	2622	66381
57	2670	66384
58	2711	66223
59	2763	66335
60	2808	66242
61	2849	66089
62	2892	65967
63	2934	65852
64	2981	65817
65	3028	65808
66	3071	65696
67	3123	65768
68	3182	66011
69	3229	65978
70	3274	65911
71	3321	65880
72	3367	65826
73	3410	65713
74	3466	65860
75	3508	65733
76	3548	65571
77	3588	65426
78	3631	65314
79	3680	65332
80	3723	65226
81	3767	65142
82	3811	65063
83	3854	64981
84	3895	64850
85	3947	64897
86	3993	64864
87	4038	64800
88	4081	64705
89	4132	64740
90	4176	64674
91	4219	64584
92	4266	64553
93	4314	64531
94	4357	64441
95	4409	64484
96	4451	64391
97	4496	64322
98	4541	64270
99	4583	64166
100	4639	64270
101	4685	64223
102	4727	64120
103	4778	64147
104	4822	64065
105	4869	64033
106	4912	63952
107	4954	63858
108	4998	63788
109	5041	63707
110	5085	63632
111	5126	63537
112	5169	63447
113	5213	63389
114	5259	63342
115	5302	63264
116	5346	63195
117	5388	63113
118	5432	63048
119	5479	63012
120	5522	62939
121	5574	62959
122	5619	62907
123	5666	62880
124	5711	62829
125	5760	62816
126	5803	62743
127	5848	62691
128	5901	62718
129	5949	62696
130	5993	62633
131	6043	62634
132	6091	62609
133	6152	62718
134	6197	62660
135	6240	62585
136	6282	62508
137	6338	62557
138	6383	62501
139	6426	62430
140	6472	62383
141	6517	62327
142	6566	62310
143	6621	62350
144	6669	62328
145	6713	62261
146	6761	62231
147	6806	62175
148	6850	62109
149	6899	62098
150	6947	62071
151	6994	62026
152	7033	61923
153	7078	61871
154	7134	61906
155	7178	61843
156	7222	61779
157	7266	61717
158	7314	61687
159	7365	61690
160	7408	61614
161	7461	61622
162	7505	61562
163	7553	61534
164	7597	61466
165	7642	61417
166	7690	61384
167	7731	61300
168	7775	61234
169	7830	61263
170	7877	61222
171	7923	61178
172	7964	61089
173	8019	61116
174	8062	61045
175	8107	60989
176	8153	60940
177	8202	60918
178	8244	60846
179	8294	60826
180	8340	60777
181	8388	60748
182	8432	60685
183	8485	60688
184	8529	60628
185	8578	60602
186	8620	60528
187	8669	60501
188	8710	60422
189	8756	60377
190	8801	60318
191	8842	60242
192	8890	60204
193	8935	60150
194	8979	60096
195	9025	60046
196	9071	59997
197	9123	59990
198	9172	59966
199	9217	59916
200	9271	59919
201	9319	59881
202	9378	59921
203	9422	59862
204	9465	59795
205	9510	59739
206	9555	59688
207	9608	59682
208	9648	59601
209	9689	59521
210	9727	59424
211	9788	59468
212	9826	59376
213	9887	59417
214	9933	59367
215	9988	59378
216	10026	59283
217	10065	59195
218	10109	59131
219	10153	59073
220	10200	59033
221	10272	59136
222	10318	59088
223	10361	59022
224	10402	58947
225	10443	58871
226	10488	58816
227	10528	58737
228	10579	58720
229	10622	58653
230	10666	58596
231	10706	58516
232	10744	58427
233	10782	58336
234	10826	58276
235	10878	58266
236	10915	58168
237	10975	58198
238	11020	58148
239	11063	58083
240	11107	58026
241	11164	58035
242	11209	57983
243	11260	57964
244	11305	57910
245	11353	57872
246	11412	57895
247	11452	57815
248	11499	57772
249	11546	57733
250	11591	57680
251	11634	57620
252	11681	57576
253	11723	57509
254	11767	57454
255	11824	57457
256	11871	57419
257	11917	57368
258	11960	57306
259	12004	57250
260	12052	57212
261	12095	57151
262	12141	57105
263	12197	57106
264	12241	57051
265	12292	57026
266	12337	56973
267	12407	57037
268	12464	57042
269	12511	56995
270	12562	56971
271	12608	56921
272	12655	56882
273	12706	56852
274	12751	56804
275	12802	56776
276	12843	56707
277	12887	56650
278	12934	56606
279	12988	56591
280	13034	56545
281	13081	56502
282	13126	56449
283	13181	56437
284	13234	56421
285	13272	56338
286	13318	56291
287	13365	56245
288	13425	56256
289	13470	56206
290	13515	56151
291	13564	56116
292	13610	56068
293	13652	56004
294	13696	55947
295	13738	55881
296	13789	55853
297	13833	55797
298	13880	55755
299	13927	55709
300	13985	55710
301	14026	55642
302	14063	55556
303	14097	55463
304	14143	55413
305	14190	55371
306	14232	55307
307	14274	55244
308	14321	55198
309	14363	55136
310	14402	55062
311	14458	55055
312	14503	55003
313	14551	54960
314	14595	54907
315	14643	54867
316	14685	54805
317	14733	54764
318	14775	54703
319	14828	54681
320	14868	54609
321	14922	54592
322	14967	54540
323	15012	54489
324	15055	54431
325	15108	54409
326	15152	54355
327	15199	54311
328	15245	54262
329	15289	54209
330	15333	54155
331	15369	54071
332	15409	54003
333	15466	53994
334	15502	53911
335	15545	53853
336	15583	53777
337	15624	53715
338	15667	53657
339	15716	53621
340	15761	53570
341	15808	53525
342	15859	53497
343	15906	53452
344	15983	53509
345	16028	53460
346	16072	53405
347	16120	53363
348	16163	53308
349	16213	53273
350	16258	53222
351	16302	53167
352	16337	53085
353	16386	53047
354	16426	52982
355	16481	52962
356	16526	52911
